Data valuta,Descrizione,Titolo,Isin,Segno,Quantita,Divisa,Prezzo,Cambio,Controvalore,QTY,Val Unit €,Operazione,Commissioni Fondi Sw/Ingr/Uscita,Commissioni Fondi Banca Corrispondente,Spese Fondi Sgr,Commissioni amministrato
2024-12-19,Compravendita titoli,LEONARDO,IT0003856405,A,385.0,EUR,25.98584,1.0,10004.55,385.0,-25.98584415584416,,,,,
2025-04-10,Compravendita titoli,LEONARDO,IT0003856405,A,115.0,EUR,42.30026,1.0,4864.53,,,,,,,
2025-06-25,Dividendo,LEONARDO,IT0003856405,,500.0,EUR,0.0,1.0,192.4,,,25/06/2025,0.0,0.0,0.0,0.0
2025-12-19,Compravendita titoli,LEONARDO L 5X,IT0005674350,A,1100.0,EUR,9.08,1.0,9988.0,,,,,,,
2025-12-22,Compravendita titoli,LEONARDO L 5X,IT0005674350,V,1100.0,EUR,10.7,1.0,11770.0,,,,,,,
2025-12-31,Compravendita titoli,LEONARDO L 5X,IT0005674350,A,1000.0,EUR,9.64,1.0,9640.0,,,29/12/2025,0.0,0.0,0.0,0.0
2026-01-06,Compravendita titoli,LEONARDO L 5X,IT0005674350,V,998.0,EUR,12.33,1.0,12305.34,,,02/01/2026,0.0,0.0,0.0,0.0
2026-01-06,Compravendita titoli,LEONARDO L 5X,IT0005674350,V,2.0,EUR,12.37,1.0,24.74,,,02/01/2026,0.0,0.0,0.0,0.0
2026-01-06,Compravendita titoli,LEONARDO S 5X,IT0005674368,A,2000.0,EUR,5.7,1.0,11400.0,,,02/01/2026,0.0,0.0,0.0,0.0
2026-01-07,Compravendita titoli,LEONARDO S 5X,IT0005674368,A,500.0,EUR,3.93,1.0,1965.0,,,05/01/2026,0.0,0.0,0.0,0.0
2026-01-12,Compravendita titoli,LEONARDO S 5X,IT0005674368,A,2000.0,EUR,2.195,1.0,4390.0,,,08/01/2026,0.0,0.0,0.0,0.0
2026-03-04,Compravendita titoli,LEONARDO,IT0003856405,V,370.0,EUR,59.72,1.0,22096.4,,,02/03/2026,0.0,0.0,0.0,0.0
2026-03-04,Compravendita titoli,LEONARDO L 5X,IT0005674350,A,500.0,EUR,23.59,1.0,11795.0,,,02/03/2026,0.0,0.0,0.0,0.0
2026-03-04,Compravendita titoli,LEONARDO,IT0003856405,V,6.0,EUR,59.72,1.0,358.32,,,02/03/2026,0.0,0.0,0.0,0.0
2026-03-04,Compravendita titoli,LEONARDO,IT0003856405,V,124.0,EUR,59.65976,1.0,7397.81,,,02/03/2026,0.0,0.0,0.0,9.95
2026-03-13,Compravendita titoli,LEONARDO S 5X,IT0005674368,V,2000.0,EUR,1.42,1.0,2840.0,,,11/03/2026,0.0,0.0,0.0,0.0
2026-03-25,Compravendita titoli,LEONARDO S 5X,IT0005674368,V,1000.0,EUR,1.515,1.0,1515.0,,,23/03/2026,0.0,0.0,0.0,0.0
2026-04-10,Compravendita titoli,LEONARDO S 5X,IT0005674368,V,2000.0,EUR,1.19,1.0,2380.0,,,08/04/2026,0.0,0.0,0.0,0.0
